NAME,covid2020,covid2021,covid2022,covid2023,covid2024,covid2025,covid2026
Alachua,16053,28061,41851,8496,4833,2114,180
Baker,2505,3706,4226,542,427,174,35
Bay,11581,21811,20637,3456,2631,992,58
Bradford,2223,3338,3364,802,325,125,14
Brevard,20963,68960,79966,15501,14444,7160,940
Broward,137637,314092,300191,51271,35211,18247,1586
Calhoun,1260,1905,1610,426,393,92,6
Charlotte,7532,17591,21346,5678,2765,1539,262
Citrus,6726,14685,16473,3676,2623,684,63
Clay,11538,24772,28880,5388,4595,2297,325
Collier,22041,40930,39093,9365,6493,3602,374
Columbia,6053,9586,9254,2101,1338,599,32
Miami-Dade,296585,576820,627645,97653,61519,31333,2201
DeSoto,2902,4274,3864,735,675,336,31
Dixie,1138,1922,1719,385,280,57,5
Duval,61535,118326,128226,24639,20036,10763,1166
Escambia,20343,37795,34067,7132,5643,2723,314
Flagler,3778,11906,12390,2376,1953,843,103
Franklin,917,1368,1183,189,160,86,5
Gadsden,4047,5706,7322,1629,1073,201,15
Gilchrist,1037,2253,2169,496,239,84,3
Glades,776,746,734,139,70,36,10
Gulf,1334,1735,1856,310,288,137,4
Hamilton,1267,1605,1547,288,116,54,2
Hardee,2143,4184,3792,900,792,394,10
Hendry,3329,5243,4945,1005,586,371,21
Hernando,7506,22946,21939,4314,2538,1146,99
Highlands,4979,12217,12730,2670,1822,1183,135
Hillsborough,77833,194891,194001,37196,27332,14826,1149
Holmes,1702,2288,2211,435,232,63,5
Indian River,7015,16732,17648,4105,3014,1394,151
Jackson,4665,5979,6851,1861,950,324,30
Jefferson,1005,1678,2145,336,339,35,4
Lafayette,1431,836,806,189,88,36,0
Lake,15623,44848,45319,9770,7748,4791,570
Lee,39695,97337,96657,22156,17251,11254,1254
Leon,19555,38699,51365,8861,5454,1114,70
Levy,1880,5493,5045,1139,804,276,19
Liberty,757,1155,1006,253,197,44,0
Madison,1552,2333,2944,469,156,26,10
Manatee,22147,48627,48694,8978,6709,3479,311
Marion,18216,42290,42003,9056,5002,2159,262
Martin,7487,14470,17059,4510,3482,1564,119
Monroe,4112,8443,9384,1569,1073,594,51
Nassau,4585,11415,10507,2097,2047,1272,147
Okaloosa,12932,23567,23814,4693,3167,1457,105
Okeechobee,2457,5356,4369,919,1017,545,26
Orange,77156,189129,196934,34571,27505,14709,1221
Osceola,25324,57352,57544,10696,8001,4634,348
Palm Beach,82607,190940,190703,40397,29280,13070,1315
Pasco,22117,64671,68128,14127,11239,6016,568
Pinellas,44827,103384,119142,25455,19892,9692,1160
Polk,37713,104791,109911,23061,19218,11787,1105
Putnam,4060,9179,7523,1281,646,332,31
St. Johns,13134,31463,31819,5892,5113,2359,310
St. Lucie,14651,38952,39411,8615,7111,3765,366
Santa Rosa,11243,23205,23165,4950,3591,1854,256
Sarasota,18275,42915,55656,10765,6812,3673,505
Seminole,18169,54284,56194,10498,8184,4243,528
Sumter,5170,10437,13438,3308,2249,1298,163
Suwannee,4066,5479,5791,1444,714,336,11
Taylor,1989,2803,3114,456,213,50,6
Union,1475,1721,1782,330,205,75,3
Volusia,22199,62116,61862,12733,9615,4729,470
Wakulla,2177,4716,4937,1159,845,129,6
Walton,4502,8070,6635,1517,1123,419,52
Washington,1990,2763,2740,515,238,124,14
