NAME,POP
Alachua,"285,492"
Baker,"28,430"
Bay,"186,393"
Bradford,"27,885"
Brevard,"632,780"
Broward,"1,977,129"
Calhoun,"13,492"
Charlotte,"201,064"
Citrus,"162,472"
Clay,"227,584"
Collier,"398,291"
Columbia,"71,789"
DeSoto,"35,386"
Dixie,"17,058"
Duval,"1,023,153"
Escambia,"325,923"
Flagler,"126,528"
Franklin,"12,553"
Gadsden,"43,710"
Gilchrist,"19,040"
Glades,"12,563"
Gulf,"15,131"
Hamilton,"13,616"
Hardee,"25,675"
Hendry,"42,382"
Hernando,"207,018"
Highlands,"105,702"
Hillsborough,"1,522,748"
Holmes,"19,513"
Indian River,"166,936"
Jackson,"48,250"
Jefferson,"15,091"
Lafayette,"8,161"
Lake,"412,924"
Lee,"817,666"
Leon,"297,542"
Levy,"45,391"
Liberty,"7,687"
Madison,"18,089"
Manatee,"429,792"
Marion,"400,078"
Martin,"162,176"
Miami-Dade,"2,738,356"
Monroe,"81,860"
Nassau,"97,859"
Okaloosa,"216,599"
Okeechobee,"40,816"
Orange,"1,471,937"
Osceola,"427,415"
Palm Beach,"1,533,806"
Pasco,"611,444"
Pinellas,"963,481"
Polk,"790,694"
Putnam,"75,164"
Santa Rosa,"198,472"
Sarasota,"459,547"
Seminole,"481,470"
St. Johns,"306,934"
St. Lucie,"360,500"
Sumter,"143,408"
Suwannee,"45,342"
Taylor,"21,503"
Union,"15,701"
Volusia,"579,622"
Wakulla,"35,387"
Walton,"82,948"
Washington,"25,529"
